,review
759,"partial feelings just returned resort days ago, left july8 returned 15. check time hotel 3:00 pm unfortunately arrived family 11:00 suffer heat 4 hours gave room, suggest early flight pack bathing suit carry bag hotel heat unbearable, day gave room 3:00 pm key gave did n't fit, notified said key fit immediastely, wrong, did n't 5:00 pm told desk acted wrong said gave room, gave different room key told stuff room locked key didnt work, staff told customers maid transfer belongings open old room stuff, searched 3 floors upset day maid didnt called desk told wasnt job, sent open old room stuff, earlier day guy carried suitcases got tip family didnt like walked away refused carry anymore luggage, rest week towels got stollen wake 5 morning cabana, think food reused breakfast dinners night, enjoyable vacation despite interferences, rooms not sound proof trouble falling asleep night ya, bartenders sexist women served men beautiful european ladies, lines dont matter, water pressure shower not great, desk not helpful, 20 dollar departure fee money night beofre left lady wouldnt, demanded finally did, overall nice holiday bit mind following things, recommend resort not returning resort, try mexico bahia principe tulum,  "
760,"not best just returned hotel spent weeks bliss honeymoon, unfortunately spent 9 days bed illness 3 hospital parasite water food read person hotel symptons did not hospital 2nd person not hotel did hospital symptons, told doctor hospital epidemic parasites dominicanand 4 people admitted everyday, hotel nice clean friendly people food hotel buffet cause illness not provenas doctor stated hard detect parasite water beach hotel food, told rep takes anti parasite tablet month, prblems illness hotel 4 6 weeks email vfl02 aol.comwe honeymoon form 16 june 04 30 june 04, honeymoon, not,  "
761,"got bumped hotel ca n't actually comment grand flamenco punta cana like got bumped hotel arrived, arrived punta cana december 28th told airport airtransat representative going staying barecelo caribe n't room flamenco, n't just bumped travelling ottawa flight booked resort, apparently continued week, met man edmonton got bumped well.so far air transat offering 100, according travel agent voucher trip makes mad no excuse sort screw-up age computers, spent lot time researching resorts web told n't room inexcusable, result ot experience think twice booking occidental hotel charter company,  "
762,"beautifull beach really bad food, spent weeks hotel 18/11/03-3/12/03, beach awsome, grounds beautifull room small dark horrible, second room better, bathrooms rooms terible, really need upgrading, rooms, food not great not picky eater days hard eat mind nice, like salad, ate days, silly thing abroad, ill 13th day arriving uk want straight gps ill diagnosed shigella bacillary dysentery, ca n't cook boil peel forget advice shigella web sight, month not recovered, needless say dr. interested know diagnosed shigella resort,  "
763,"love god n't just returned morning trip punta cana dad girlfriend daughter, possibly worst hotel stayed, arrival tried check thought man greated desk nice confused held luggage outside checking no tells ignored, requested separate rooms right eachother did n't want hassle keeping 4 people room, absolutely no concern people travelling, placed separate buildings, dad gf daughter dropped little golf cart, floor guy helped room luggage, dad dropped second left carry bags 2 flights stairs driver sped stupid golf cart no courtesy, days boring uneventful, went beach told look towel cabana say course 15 days, crack dawn reserve hut pool stationed leave it..you, pool water cloudy disgusting dad dropped glasses 14 inches water eventually fished food disgusting, buffet reccomend sticking pasta bar fruit occasionally pizza n't sick, 8 consecutive days party sick, immodium pepto costs outrageous ammount money site store know need pay reccomend bringing, book la carte soon prepared deal nasty people booking awful becayse not want eat buffet, hours opperation outageous breakfast 10:30 like sleep forget, la carte restaurants reccomend la hacienda mexican place n't good, ask n't tell just write order mistakenly ate dolphin, overall really didnt like resort tips exactly cabana towels basic spanish n't eat buffet library card stick key slot air conditioning running not know mean know gravol/pepto/immodium need, especially immodium bugs nasty not like ones home bring bug sprayso just prepared knows good time,  "
764,"unaccomodating aspect 40 yrs old husband traveled large group spring break seniors group teenagers young kids 8-12 years, complaints, traveled inclusive resorts poor quality food drinks poor service, n't, make entire stay difficult, complain just look like crazy accuse lying people really bring worst, absolutely no variety buffet food breakfast lunch dinner day, nothing prepared nothing presented, open restaruants evening dinner eat buffett breakfast lunch, cute little mexican pizza dinning area outside dose n't open 7pm, restaurants bad, decent place eat steak house, domican people unfriendly, airport resort smiled wanted assist act big inconvenience, no place wants travelers checks act like phony money, overall kids fun liked water sports liked shows just hokey kids enjoy, way basically exact night-no variety, bartenders waiters bar just look right past, think think act like n't wo n't wait, advise-go mexico jamaica, people friendly really want country, return occidential hotel dr,  "
765,"dirty budget bed bugs stayed good friend 7 days jan. 10-18, say place dump understatement, shower floor wasnt curved water ran right bathroom room given worst room entire building, plan staying not stay d section, things hotel cleaning came 3 times 7 days seriously doubted cleanliness sheets pillows towels.you think im over-reacting little right, think again.. make things worse.. friends just emailed saying rash body cant say rash hotel arena wouldnt discount fact, judging cleanliness room hotel cleaning bathroom pillows towels budget cheap wellword wise not stay here.. pay extra money stay quality place.. know time.. p.s, staff overall pretty rude,  "
766,"like mice hazards dirt grime soiled matresses book, stayed stag dooooo turns europe stayed stag doooo hotel not bothered update fix rooms 30 years so.a friend room awoken middle night mice eating crisps short want stay middle amsterdam dont mind dirt mice bad rooms dont windows, honestly no windows hazards stay, value life cleanliness stay else.the thing staying hotel okay company, wobbly bob pete drug sponge constant distraction state place,  "
767,"romantic weekend amsterdam extremely basic, asked room near reception did flight extremely steep stairs, no offer help bags staff member busy chatting msn concentrate booking in.vending machines reception n't work, half light bulbs did n't work windows n't shut, laminate floorboards kept moving.strange looking brown bugs room.food disgusting, persuaded eat restaurant downstairs night tasteless colourless small extortionately expensive portions.then breakfast experience, table laid ham cheese stale bread rolls large bowl cereals, cooked breakfast available extra, tea coffee available not offered seek, staff surly refuse serve waiter click fingers let know tea ready.to came rash assumed allergic reaction started wrists spread bodies, imagine mortified consulted doctor discover scabies, doctor said caught dirty beds bedding.under no circumstances recommend hotel anybody.this said amsterdam beautiful romantic city did n't detract enjoyment derived stay,  "
768,"stolen cell closed suitcase stayed hotel 5 nights changed rooms 2 nights 3rd fllor room 3 tiny single beds needing, rooms tiny cell phone does not work europe zipped suitcase charger shelf room wardobe closet closed doors opushed single beds closet left usual according policy turned room card key desk did optheres walked right past desk went rooms not turning keys asked reception told know people, 3rd night moved nicer room double bed large windoews heat did not work fixed folwing day opened suitcase picture room cell phone gone, charger contacted desk summoned staff course no saw, no room excpet hotel let crew cleans did not disaper room safe smashed previous date.i traveled thailand egypt europe 20 times lost stolen room inside suitcase, planed profesianly told police report did slept wallet pillow eye open, breakfast 8 time amsterdam, miss oh aksed wake day course marked forgot room time gave room key, talked visa chage comonay 2 charges hotel 5 nighst slept asked hoteel told regular charge goes deposit retuned not, stay, location good wants sleep ahotel cant trust locked luggage room hotel,  "
769,"damn hotel stayed fairly cheap accommodation previously far worst, opening window looked overflowing guttering clogged cigarette butts, tv did n't work room n't cleaned particularly previous guests, stairs hassle fourth floor concerned getting event hotel paris burnt day arrived mind, n't sure stumbled kind asylum hostel judging people hanging round reception, week arrive got phone saying mislayed confirmation no longer bathroom, kicked fuss luckily managed sort, wish n't forced,  "
770,"n't let bed bugs bite website read reviews day arrived stay 7 nights feared worse.however 65 euro night good points got single room floor reception floor stairs n't problemnew varnished clean floorboardsnew spotless ensuite shower toiletgood tv choice especially music channels no mice rodentsreasonably polite staffexcellent locationbad points bed bugs, not bad complain itching got worse returned homewindow overlooked noisy alley hotel, arguments fights early hours nightsheets towels changed 7 night staythree holes ceilings exposed wiresvery narrow roomvery poor continental breakfast, n't worth getting forlast year stayed door hotel damrak.a bit expensive 80 euros night single room breakfast tv choice poor, better elevator in-room fridge safe, good argentinian steak house hotel, year book,  "
771,"disappointed reading reviews dirty room poor service booked hotel reading tripadvisor reviews majorly disappointed arrived, no reception arrived husband walk hotel finding staff member, second room stuffy smelled like no opened windows large patches black mold growing different areas ceiling rug dirty paint chips probably decaying paint fallen ceiling, rental car parking inane gates not automatic raised receptionist happens car security monitor, time said bye receptionist knew car parked did n't bother raising gate, meant walking telling raise gate, receptionist extremely surly gave commands accompanied cold looks talking like regular human, complimentary breakfast okay water pressure shower good somewhat-positive things think place, spend extra 50 time stay holiday inn express right door looked times better,  "
772,"cheated mistreated 400/night range hotel disappointment, cost 100 night let filthy bad service bathroom filthy poorly designed, service rude lazy, sheets stained not kidding, blankets multiple tears, club noisy serving underage partyers, management available bs magically disappeared time accept responsibility, hotel run badly need restoration.this hotel scam, entirely smoke mirrors, hotel gives impression shelf experience web scratching surface trying money possible based overblown location, towels beach chairs missing twice went beach, waiters overpriced restaurant ignored treated like bothering, rooms simply n't cleaned properly, people room provided robe called complained, room supposed not available got given lesser room view parking lot did n't adjust price, mentioned twice said adjust did auto check-out saw billed expensive rate.when brought things managements attention did nothing, did n't really accept responsibility, offered small discount gave, fought weeks afterward, gave, approached management company hotel sent manager water club.it like bad dream, hotel charges ritz experience does n't come close, just stay ritz service great right beach crossing road filled bums beach great pool unlike wc crappy tiny pool, water club ruined vacation n't let thing happen,  "
773,"highly disappointing 1 hotel bad service mean bad rude desk ignoring waiters slow moving bellhops nameit, 2 hotel bad shape room pool water floor actual puddle, tried make room look hip photos looks great, sparse run-down looking, shower terrible, elevator cool waterfall moldly rusty cracked, 3 easily hear making kind sound hallway elevator bays.as credibility little critical hotels price range generally like 80, worst disappointing hotel stayed past 5 years, travel lot,  "
774,"eh, expected better decided husband away birthday heard good things villas el conquistador researched decided hope best, arrived fine check showed casita 1 bedroom villa living kitchen areas, soon stepped smell strong odor mold, letting bell man leave looked bedroom area decorated stunk no better motel pay 50 night, second later looking stepped right puddle water realized major leak walls bedroom ceiling floors disgusting, not 5 star, called desk did not believe sent maid clean cant just wipe major leak, maid said called desk said send engineer patiently waited engineer said cant major leak, 2 hours later chaos not just taking word leak lady reception named laura told casita available far way hill 2 bedroom newly renovated casita, thank g-d gave room not husband ready leave ritz san juan, newly renovated casita absolutely gorgeous spectacular views wrap-a-round terraces lounge chairs tables, bathrooms nice not great, thing beds not comfortable manageable, great having new kitchen large open living area not leak old casitas got room, leaves wonder hotel renting old casitas infested mold water just felt damp gross second terrible thing service place just way big guess service awful example morning left called shampoo conditioner 9 o clock half hour goes hour finally just apologize time understand slow motion, pool ocean dont ask want drink wave waiter serving 100 people drinks arrive 30 mins later no longer frozen, really dont understand waiters drinks served bought means hotel service shuttle ok not great just called told room shuttle arriving, needed shuttle main hotel casitas took close minutes..we didnt eat food hotel did order fruit platter room service thought puerto rican fruit good man wrong fruit absolutely no taste not season newly renovated casitas great views roomy service definintely lacking not come nor recommend, especially booking guests old casitas, starting wish stayed vacation,  "
775,"terrible service food way expensive offered, beautiful location no way viewed 2/3 star resort, rooms nothing like luxurious advertised stayed 1 lounge chair balcony asked told restricted 1, no plug bath despite requests provided furniture tired walls, concierge/butler service joke, price paid expected lot service requests chased occasions took 45 minutes ice delivered 2 occasions, food expensive poor quality las casitas thank goodness good local restaurants outside resort service restaurants lacking respects staff appeared untrained demotivated disinterested management handled concerns borderline disinterest, whilst sadly frequently heard customers complaining slow poor service poor food quality, not location checked night despite complaints did not better rest stay.reluctant try spa reasons chose particular resort bearing mind bad service experienced fear costly disappointment,  "
776,"cockroaches dirty carpeting not consider 10 deposit huge cockroaches say, decided try st vincent price fact location convenient 20 minute walk not 10 minutes french quarter 15 minute garden district, area bit shady not bad, house character room stayed nasty, green carpeting dirty really old walked floor cave, disgusting cockroaches size adult thumb killed 5 stayed 3 nights tried spend little time room possible, imagine trying shower morning ready step seeing huge cockroach shower tub, shook belongings left not want bring home, windows dirty lots dead insects not cockroaches window, stayed second floor room overlooked huge garbage pile looked like not picked months did not smell view not pleasant, booked hostelbookers charged 10 deposit room applied room charge 15 stayed 3 nights 50/ night st. vincent refused consider deposit charged price 150 tax instead 135 tax, plan dispute transaction.the positives room large tall ceilings, wanted clean room clean bathroom definitely not, stayed hostels students nastiest hostel, definitely not returning,  "
777,"hell earth, worst hotel stayed, taught valued lesson cheap u r gon na sleep, best friend decided 2 girls weekend n new orleans essence festival minute booked hotel desparation pics web did n't bad, boy wrong, drove past bldg 3 times thinking condemned, people n lobby complaining rooms reservations, complaints events dump choice, elevator not working course room 2nd floor dark hallway blown hall light, asked 4 dbl beds instead 2 rms, hall eachother no tv no air, 2 afraid 2 b n seperate rms stayed 2gether n single rm, w/ 1 bed, o did mention street cops house sourrounded guy shot cop holding girlfriend hostage, u want 2 survival mission st. vincent 4 u. not recommended women staying matter,  "
778,"dial 911 read room room hot window cooler did n't help, mattresses really hard crunchy, lamps did n't lamp shades, ceiling fan sounded like going creek ceiling, alarm did not work room, window did not blinds looked balcony shared balcony sleeping, tv remote did n't batteries, door did not close light coming wide cracks, no a/c entire bulding, bathrooms bathrooms fine.parking good sized parking lot, desk young woman nice, terrifying night woke times hot, 3am woke alarms hallway blaring, friend dressed run stairs outside 911. n't desk no locate staff, guests went open rooms try alarms going, half-dressed man finally ran turned alarm told okay no figured alarms went just dismantled, got upset said called 911. building not completely checked big, scary, dept responded 10 minutes later gave clear,  "
779,"say dump worst nastiest place stayed didnt clean sheets place looked cleaned roaches size rats electric didnt work lot places phone didnt work furniture busted going ive said place going make guess house decent crew new furniture god sake just needs redone way,  "
780,"nasty n't waste time money site late, pay did not stay, room scary, reservation lost 10 minutes waiting pulled totally nasty room, course no apology, asked room told none, course charged credit card 1 nights stay called speak manager got run lies downright nastiness, horrible people, conflicting falsehoods shownmany rooms person initial reservation told cancellation policy does n't work anymore unprofessional, scramble new orleans durring busy time place clean stay, upsetting 1,000 miles home,  "
781,"not 4 star hotel unimpressed westin, certainly not 4 star rating, shower clogged little space bathroom no place make-up bag staff not helpful, spoke manager let assure customer service not strong suit,  "
782,"worse thought recent review indicated price room 500, mistake current rates double price really terrible value money,  "
783,"westin times square cheats customer starwood points booked room 7 nights using hotels.com spent 3200, westin refused points starwoods reservations using hotels.com not directly westin, speacilly unpleasant paid commison hotels.com not westin,  "
784,"not recommended regular guest establishment stayed recently week july business.the hotel declined earlier days rooms signs aging lack maintenance, things wonder westin motel 6 include:1 horrific sound toilet makes encourage drink/eat less.2 carpets floor 43rd floor starwood preferred floor littered debris uncollected room service trays left-over food.3 bed sheets got changed week long stay, suspect newly developed itching somewhat related not-so-clean sheets.4 sprinker room base detached wall.5 housekeeping tidy room twice.6 no longer wireless access lobby make pay 15 day internet access.the plus location, nice hotels nearby, not stay hotel,  "
785,"dirty awful sanitizing, stay hotel business, prior stay carpet wet no explanation stay worse, checked room not cleaned, gave room appeared clean, little later unpacking week old newspapers plastic trash bags drawers, speaking housekeeping manager promised room re-cleaned sanitized went dinner meeting, returned did look better, went bottle water minibar 8 items food prior guest stinky leftover pizza sandwiches fruit yuck, needless say apologized, hotel not westin standards, housekeeping weekest link, just not clean, no cafe pick coffee light breakfast, workout room expense 10 day, concierge downright rude, business center charges print boarding pass rare days, walls hear room nearby opening blinds flushing toilet.all 400 night.no thanks,  "
786,"shocked disappointed supposed celebration trip hotel nearly ruined vacation, biggest issue unable towels washclothes despite repeated requests housekeeping desk management days, sheets changed received no turn service room dirty, courteously voiced concerns received response hotel corporate, great experiences westin past real shocker,  "
787,"worst hotel experiences stay westin times square worst hotel experiences, night new york leaving 6pm jfk needed store luggage 3 pm republican convention hotel did not provide service, staff totally unhelpful reply got carried luggage sheraton expense pay 3 dollars bag, unbelievable, asked late check-out instead said not provide, change plans day arrived airport 5 hours departure flight.the hotel nice seen better hotels le meridien vienna elegant style, bathroom quite ugly heavenly shower nothing shower double shower head, room bath robe no slippers, not reccomend hotel certainly choose place stay return new york city,  "
788,"great n't desk staff beds location cleanliness excellent, desk screwed simple kinkos delivery traveling companion reservation- tried assigning blame despite ability produce confirmation numbers dates, ended customer service amazingly bad, probably fine tourist travel warned business travel worst starwood property stayed,  "
789,"room view nothing, room fine talk scrimping no mini bar fridge blanket pillow person no cushions no notepaper hard wooden chair adults explained reception liked spend time reading holiday comfy chairs sent hard wooden no toiletries minimum soap shower gel toilet roll no toilet brush did think going steal towels definitely not luxury class.there no sound proofing great overlooking las ramblas imagine paid 160 euros night no breakfast annoying kept awake night crowds below.no bar hotel reception reply emails, no matter times emailed phoned speak spanish n't final confirmation booking.pleasant english guy reception nicholas not place,  "
790,"not worth money read booking rooms barcelona far advance right.. booked room hotel available city late booking 3 weeks, comparison saw 200 night not good value, room average furnishings lighting real problem reception desk staff, example difficulty operating electric monitor room, traveled extensively europe encountered things requires room key turn lights, husband fairly good spanish n't understand did n't know turn lights room ca n't believe guests question, finally took guest met elevator do.that said breakfast buffet good good groups traveling,  "
791,"noisy wife booked nights hotel did not enjoy experience, clean friendly noise level resulted no sleep, rooms floor right hand building avoided, recycling trash bins outside windows collected early hours morning, windows did not lock properly provided no barrier outside noises, plus location excellent,  "
792,"not good checked asked room track said dollars, said okay got room notice big tree blocking track, ball game nice track, got game monday 1015pm thought drink bar eat surrounding area not great closed like not opened, wife saw sign said 50 percent come visit store store closed months, check time started banging things hallway knocked door, got asked time check said 10 11 said 10 11, oh yeah pressure shower bad, n't waste time,  "
793,"worst service, just returned 5th anniversary trip michigan, stayed hotel 3 nights days, not package deal left tried upgrade motel 6.just list site calder racehorse track did n't know races spout advertising.close pro player stadium advertise free shuttle games existed said will.legends sport bar site advertised world famous 20 tv basically beg college football turned saturday afternoon turned game, bar does n't open 4pm saturday sunday biggest football days sports bar rainy miami afternoons.housekeeping did n't leave towels toilet paper cleaning room.major not minor cockroache problem 8 evening.customer service horrible, not single service person said hello matter.if looking place eat travel far distance hotel place denny not good neighborhood, n't travel south 27th ave.will stay,  "
794,"definitely not best horrible service expensive fares stayed hotel 4 nights august location good close main attractions train station.though service hotel just lousy.we paid 120 euro night booking expedia promised nice room king size bed special decor features.we problems check 11am pretended rooms busy huge hotel surprising.after checking going upstairs room surprised smallish size bed no not american simple decor fact room single room person evrything single said double room dishonest.we went immediately downstairs complain did not solve problems.we called manager thinking solve problem eye blink assistant office manager just cheap telling description hotel gives expedia way wrong no way different room said best deal wrong radisson sas better price cheap lady invited cancel reservation want website not possible time wasted like 2 hours useless discussion late 2 3 hours cancel.if checked 11 not problem.she offerd upgrade pay mean her.she did not want admit room does not match description did not propose reward make forget disappointment.she did not offered drink discussing just not worth status manager not rude cheap mean impolite.we ended taking room nice sheets nice bathroom nothing spcaial price propose not good value money view room boring incourt boring yard windows.we admit mercure tempelhof stayed night moving swiss better value better service 60 cent costly spacy room huge bed nice old decoration berlin.we decided stay worst experience hotel does not fulfill expectations nor cheap manager lacked competence.i recommand not stay hotel not price paid night cost 70 euro price offer not worth it.and not pay 120 euro night just good location city,  "
795,"terrible customer service reviewers clearly hired hotel, things good hotel aveda products big mirror, inexperienced unprofessional staff treat guests terribly, talked guests similar opinion,  "
796,"disgusting, wow, right not worth saying ca n't bad, college student place sick stomach, q-tips hallway bugs room roof looked like going blow away second, 40 cab ride airport 50 port following day no friday port runs period, true staff kept repeating ramada door phone book, left embassy suites sucked money worth penny leave days inn,  "
797,"hated experience horrible reservation triple room double room got told rooms floor no elevator no help went approximately 100 steps time got floor breath opend door rooms completely upset single room no air no working tv no working phone no soap no towels smelled terrible 100 steps phone not working let know not rooms ordered, told sold day better room night horrible bed small person not people, changed rooms day ok think 2nd floor did not 100 steps, rooms small nothing working, say 3 star hotel believe 0 star compliment like stay near il duomo sleeping outdoors comfortable sleeping awful place thing infested moskitos, went doors beautiful hotel pricing rooms told la gioconda shame shame owner la gioconda steeling money tourists,  "
798,"subpar hotel rude staff damaged car stayed hotel gioconda days, time staff rude unhelpful room not par amenities promised not delivered, asked directions locations florence given factually incorrect information hotel staff, no in-room safe hotel turn keys desk left morning, adding concern came early staff inexplicably taken room key no longer desk search room, fortunately nothing stolen unsettling.to got car garage flat tire did not dropped, desk staff reluctant let use house phone rental agency rome finally relented, people garage changed tire donut no sort apology attempt fix probelm did not tell checked fixed heading location fortunate not leaving italy day delayed hours.do not stay hotel,  "
799,"not great good bad points 5 minutes walk away red light district dam square, bad no lift stayed room 19 hotel 8 flights stairs, absolute disaster trying especially luggage, carpet hotel not cleanest sting city tax credit card charges prepared church street bell rings constantly, annoying, advice able walk stairs,  "
800,"miramar s bluff booked hotwire stayed 8days, thing no parking area small best park street.even thou didn t feel safe.room o.k, better, didn t like beeing 6th floor elevator small kinda scary, breakfast mcdonalds, staff not friendly, think got overcharged, hotel not worth, recommend no don t think, no pool no view better,  "
801,"smallest hotel room seen, tranferred h10 hotel booked did not mind saw room, seen hotel room small double bed pushed wall dark dismal horrible, rest hotel nice, hardly wanted return room,  "
802,"overrated shabby, price room decent hotel room nice city, king room booked paid not available downgraded single beds insist part-refund, hotel dump old tired shabby does not warrant stars nor value attached, expensive breakfast cheaper hold eat airport, consolation clean,  "
803,"lousy service, stayed week, rooms housekeeping ok. nor provide basic toothbrush, complementary need housekeeping rooms ok.comfy.first day checked double confirmed breakfast week, recept said yes breakfast..all morning came breakfast told breakfast not included rooms.. gave references confirmed no breakfast included.we disappointed confirmed agent day realised recept got wrong, day wasted, not worst no apologies.. nvm.about internet chargeable 0.55 min max 27.50 dayso double confirmed recept max 27.50 day said yes got point.so guess wat billed double.cause n friend got 2 diff laptops not stated based computer.and arrives recept rude kept saying bad u read hahaworst week, amenities good service staff sucks, beware, singaporepps,  "
804,"poor service average room poor customer service long wait check-in check-out times.very small pool.hotel kept credit card accident checking 10am, did n't contact let know, got taxi airport 4pm no credit card, called hotel told forgot tell left, canel card needed catch plane.would not stay,  "
805,"hilton staff lack attention details stayed hilton sydney close distance train station preferred hotels selected company, great expectation hilton completely shattered visit, mixed reservation similar resides different country, deleted replaced details told did n't make reservation, told correct reservation number fault details completely erased.then in-room breakfast shock, gave wrong tea wrong type bread, open jam jars 2 4 jams opened eaten, complaint immediately compensated plate fresh fruit breakfast fee wavied.i n't think hilton,  "
806,"choose airport hotel busy triparound australia arrived place rudest receptionist, corridors room looked like bombsite no warning room mid decoration.very expensive room service no mini bar.laundry crazy prices.no air gym.room key failed 6 times.airport shuttle driver 2 near misses dropped wrong terminal,  "
807,"disappointing 4 star wife stayed night 20 november 2006. hoped relax pending return flight uk, regretably facilities hotel poor swimming pool ok quick dip location overlooking busy road general surroundings not condusive relaxing day sun, gym no better shabby ill equiped, room close needing refurbishment stayed better star rooms bathroom needed upgrading, bath small door draughty sink unit lacked basic shaving light evening buffet not star standard nothing special.overall disappointing experience,  "
808,"officially 5 stars 4 star prices 2 star standard rooms looking forward stay visiting bbs oz dissapointed.the rooms date dirty technoligy tv, bad n't good deal like did location perfect starting day ferries, nearby,  "
809,"unfriendly desk staff disappointment marriott sydney habour circular quay, rooms wrong not ready booked paid 8 months advance, booked rooms son-in-law n't room booked rooms expecting important phone, kind rule, staff rude snobbish n't care discomfort, rooms no better refridgerator was'nt cold buy ice pay delivery, location okay certainly was'nt worth price awful treatment clerks mediocre rooms, emma,  "
810,"horrible experience- gave away prepaid room room not ready prepaid executive room w/ view exec floor did not room 4 adults settle small suite w/ king bed 2 roll away beds stuffed cramped room simply gave away room, bunch crap, knew prepaid reserved 3 mos room, prepaid not discount lower grade roomthey ultra busy busy provide type quality service, far away home w/this previous thought quality hotel chainnever trust marriott hotels.com prepayment requirment sucks, alot hotels area stay suggest,  "
811,"booked hotel rydges web site billy elliot capital hotel door, room small 2 single bedsbathroom room person time window faced alley dark room tired hotel expected rydges group, want capital try metro opposite,  "
812,"good location not sure stay booked hotel line asked non smoking room, entering room evident smoking room ashtray sitting tv, husband went reception complained smell quickly moved larger non smoking room, bathrooms small no water pressure shower, breakfast okay..the reception area small looks like needs revamp not impressive lots people checking gets cramped, stayed better hotels nearby price,  "
813,"n't arrived romantic night boutique hotel, tired hotel rooms like jail cells, room bare bed old looking blanket, felt cold veyr dissapointing considering price, talked man reception told rooms web seen pictures, pay price night, pay 2 phone calls room fabulous storrier hotel corner, rude no attempt rectify situation, stay nor recommend stay,  "
814,"avoid claustrophobic hotel reviewed fashionable attractive fashionistas groovy people whilst hotel staff friendly welcoming room standard room minute no window window blind opaque tiny bathroom, not count 2 3 star hotel fact expected purportedly 4 star establishment little space just bed small table no matter nattily pillows arranged mattress really clear, grooviness needed hotel need light air way claustrophobic standard room place needs reconsidered, checked checked 2 hours later forfeiting pre-paid account just not stay room tiny lie bed trying watch television suspended wall angle 85 degrees head, africa 5 times not scare easily hotel room bridge far, not handle small spaces avoid,  "
815,"past sell date encouraged consider hotel web site overrated, staff certainly friendly helpfull decor rooms drab carpets dirty furnishings minimal, bathrooms good scrub mould sampled 3 rooms stays, floors absence lift hassle luggage, day arrived restaurant bars closed misfortune hotel no control runs, no idea re-open, atmosphere lacking dark dreary dead hotel n't recommend, location ok like near kings cross upside restaurants victoria st fairly good grainger walking distance, understand dropped prices,  "
816,"bed bugs stayed hotel conference 8 colleagues, night noticed bites thought mosquitoes, big ones, second night felt bite bed checked bed bug walking sheet, moved bed away wall saw 3 large ones living, dead ones ground, living time, midnight, rang downstairs asked change rooms said none available, asked spray room, 1.5hrs later nearly 2am, calls desk went downstairs got fly spray, morning apologised paid antihistamines swollen 10 bites obviously allergic bad reaction, changed room evening did not offer spray belongings.i not offered refund nights slept bug room spare rooms second night bitten not offered,  "
817,"29/day internet access, outrageous citigate charges 55 cents minute broadband internet access maximum 29/day, shocking, business traveller want stay, certainly wo n't stay again.other unreasonable internet use charge hotel basic business-chain-buys-an-older-hotel-and-rebrands-it, rough edges overall reasonable place stay, somewhat characterless way business-style hotels,  "
818,"not greatest hotel stayed nights central opera house circular quay rocks shopping, pool roof 3rd floor scared heights not best place cars zooming small pool, hotel doorman conceirge polite helpful, food expensive, rooms small glasses cups coffee dirty major turn, told not interested, expensive felt not getting moneys worth thought standards alot higher, not stay fact dirty dishes no concern attitude sensitive matter, beds comfortable bathroom stocked,  "
819,"rude disorganized staff arrived long flight husband 3 yr old toddler, initial receptionist pleasant checked problems order room number printed reservation slip desk, settling resting 2 hrs received shock lives tried open door apartment failed got desk, manager guy gull ask room room meant reserved said earlier staff checked new, old new staff not way treat guests not apology given mistake, recommend place,  "
820,"place cold blooded rip, paid 4.5 star bedroom apartment nights 7/3/2008 visitor abroad accommodation looked nice privacy, beautiful photos rooms sites, got shock unlocked ugly dilapidated bedroom sleeps 4 apartment private sleeping arrangements.nobody decency inform downgrade apologize, desk insist accommodation not paid far advertising material pictures, thought not notice.the place overpriced old dump no maintenance falling apart greasy oven, worst thing behaved crazy insist getting paid not believe happening australia,  "
821,"disgusting dump fiend misfortune booked oaks 3 nights sydney conference, lobby smelt terribly cigarette smoke nothing compared room, bath cracked black grime deeply embedded cracks, shower taps fell hands water shower re-entered bathroom flow drain floor disgusting say, bed spreads filthy blankets obviously not washed time, resturant bar services advertised web site not available arrived, overall disappointing stay not repeated recommended traveling friends,  "
822,"avoid country booked four-day family easter break visit royal easter sightsee..most disappointing, hotel packed capacity, room small dirty needed coat paint good scrub, bed bugs cold showers morning 2 wall containers shower gel no soap shampoo complimentary breakfast ran seating food morning, stayed previously enjoyed repeat customers thought patronage rewarded, camping preferable endured cheaper, hotel encountered bed bugs travelled extensively australia overseas, complained leaving management no empathy busy easter period no excuse,  "
823,"avoid costs stayed 1 week october 2008 whilst business trip, selected hotel location booked accor asia web-site, booked expensive garden room specifically bundled internet access.i requested early check-in arriving 8:30am overnight flight, arrival no room available told room not available afternoon, offered use pool changing locked opened no towels available, check-in later asked pay stay, booked flexible rate not certain dates not discounted pre-pay rate, queried pre-payment told non-refundable, refused pay check-in girl said hotel policy guests pay advance not room, asked manager took 20 minutes appeared, repeated hotel policy, showed accor reservation booking terms, said hotel belonged different company different terms accor group, novotel accor not novotel, eventually argument offered pay advance night pay balance checkout.the garden room ok inside wonderful view traffic intersection outside hotel, couple trees street high wall queried desk claimed chinese garden, breakfast disaster, day problem, did not staff cope number guests, days queue 10 20 people waiting seated typically 15-20 minute wait despite majority tables, person handling payment billing seating just n't, guests getting angry complaining.the problems ranged no cups no hot water no coffee no plates no juice no cutlery, no milk no fruit, 25 breakfast expect better service, wireless internet included room rate painfully slow, stopped working 4th day stay, despite assurances desk fixed shortly evening tomorrow not working checked 7 nights, despite daily complaints response request check reduction room rate compensate internet access room rate no refund, booked standard room internet access cost 30 day overall not standard expect novotel use chain regularly, desk staff inflexible unhelpful, complaints dismissed not dealt duty managers, breakfast staff genuinely tried helpful not, written complaint hotel chosen not respond, draw conclusions hotel thinks customers,  "
